LoadingProb,MoveSteps_zebra,MoveSteps_zebra_std,MoveSteps_checker,MoveSteps_checker_std,MoveSteps_separate,MoveSteps_separate_std
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000178e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,4.080000000000000000e+02,0.000000000000000000e+00,3.960000000000000000e+02,0.000000000000000000e+00,6.540000000000000000e+02,0.000000000000000000e+00
2.200000000000000000e+01,3.822631578947368212e+02,4.073255791425609829e+01,3.658421052631579187e+02,3.403444564415158879e+01,6.272631578947368780e+02,5.058067251562560074e+01
2.400000000000000000e+01,3.683785714285714334e+02,3.862890624854894384e+01,3.521499999999999773e+02,3.142835957720806306e+01,6.164357142857143117e+02,4.826033726634351950e+01
2.600000000000000000e+01,3.501658536585366051e+02,3.641598154761374673e+01,3.365951219512195394e+02,3.050448948341317035e+01,5.975146341463414501e+02,5.622022056587742611e+01
2.800000000000000355e+01,3.341210287443267930e+02,3.549371506233964624e+01,3.234205748865355758e+02,3.010373090657579453e+01,5.751089258698940512e+02,5.509238777844596058e+01
3.000000000000000000e+01,3.178673587081891583e+02,3.345740024570351778e+01,3.094117647058823763e+02,2.914308653013409867e+01,5.448465974625144099e+02,6.235827388833637031e+01
3.200000000000000000e+01,2.991413828689370575e+02,3.281554966539581386e+01,2.927110423116615152e+02,3.055954096026358968e+01,5.101919504643962568e+02,6.321986710450825342e+01
