LoadingProb,MoveSteps_zebra,MoveSteps_zebra_std,MoveSteps_checker,MoveSteps_checker_std,MoveSteps_separate,MoveSteps_separate_std
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000178e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,1.380000000000000000e+02,0.000000000000000000e+00,1.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,1.388421052631578902e+02,1.023031181237372422e+01,1.047894736842105203e+02,7.790540467491537946e+00,1.962666666666666799e+02,2.717466140032331978e+01
2.400000000000000000e+01,1.365928571428571558e+02,1.496419365808711710e+01,1.033428571428571416e+02,9.365416189799748992e+00,1.983205128205128176e+02,1.912140268815695876e+01
2.600000000000000000e+01,1.328926829268292806e+02,1.421947119602506682e+01,1.011731707317073159e+02,9.039574898008442716e+00,1.963822222222222251e+02,2.058792838198463571e+01
2.800000000000000355e+01,1.315530303030303116e+02,1.425371530191944913e+01,9.949924357034795719e+01,8.676506755209723920e+00,1.937369942196531838e+02,2.028646481152149050e+01
3.000000000000000000e+01,1.296182237600922633e+02,1.403179089723907857e+01,9.899538638985005434e+01,9.149658009476633325e+00,1.913061674008810655e+02,1.990951130433048633e+01
3.200000000000000000e+01,1.264989669421487548e+02,1.422000972639406591e+01,9.621694214876032447e+01,9.245751880708699133e+00,1.927560975609756042e+02,2.020669271057054672e+01
