LoadingProb,Success_zebra,Success_zebra_std,Success_checker,Success_checker_std,Success_separate,Success_separate_std,Not_enough
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000178e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000021e-03,3.160696125855821936e-02,1.000000000000000021e-03,3.160696125855821936e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000888e-03
2.200000000000000000e+01,1.899999999999999953e-02,1.365247230357930219e-01,1.899999999999999953e-02,1.365247230357930219e-01,1.499999999999999944e-02,1.215524578114322019e-01,1.900000000000001688e-02
2.400000000000000000e+01,1.400000000000000133e-01,3.469870314579494019e-01,1.400000000000000133e-01,3.469870314579494019e-01,7.799999999999999989e-02,2.681715868618448351e-01,1.400000000000000133e-01
2.600000000000000000e+01,4.099999999999999756e-01,4.918333050943174967e-01,4.099999999999999756e-01,4.918333050943174967e-01,2.250000000000000056e-01,4.175823272122516916e-01,4.100000000000000311e-01
2.800000000000000355e+01,6.600000000000000311e-01,4.737087712930804773e-01,6.610000000000000320e-01,4.733698342733723141e-01,3.459999999999999742e-01,4.756931784249170958e-01,6.610000000000000320e-01
3.000000000000000000e+01,8.669999999999999929e-01,3.395747340424490335e-01,8.669999999999999929e-01,3.395747340424490335e-01,4.540000000000000147e-01,4.978795034945705522e-01,8.669999999999999929e-01
3.200000000000000000e+01,9.679999999999999716e-01,1.760000000000000175e-01,9.679999999999999716e-01,1.760000000000000175e-01,4.919999999999999929e-01,4.999359959034756495e-01,9.689999999999999725e-01
3.400000000000000000e+01,9.889999999999999902e-01,1.043024448419115624e-01,9.889999999999999902e-01,1.043024448419115624e-01,4.779999999999999805e-01,4.995157655169654154e-01,9.889999999999999902e-01
3.600000000000000000e+01,9.939999999999999947e-01,7.722693830523129355e-02,9.949999999999999956e-01,7.053367989832942664e-02,4.709999999999999742e-01,4.991582915268462095e-01,9.949999999999999956e-01
3.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.610000000000000209e-01,4.984766794946379753e-01,1.000000000000000000e+00
4.000000000000000000e+01,9.989999999999999991e-01,3.160696125855821936e-02,1.000000000000000000e+00,0.000000000000000000e+00,4.839999999999999858e-01,4.997439344304239750e-01,1.000000000000000000e+00
4.200000000000000000e+01,9.989999999999999991e-01,3.160696125855821936e-02,1.000000000000000000e+00,0.000000000000000000e+00,4.480000000000000093e-01,4.972886485734417383e-01,1.000000000000000000e+00
4.400000000000000000e+01,9.989999999999999991e-01,3.160696125855821936e-02,1.000000000000000000e+00,0.000000000000000000e+00,4.510000000000000120e-01,4.975932073491357022e-01,1.000000000000000000e+00
